United States,392
New York,296
same time,94
Rhode Island,90
last year,68
first time,67
White House,65
World War,60
other hand,60
fiscal year,57
U. S.,57
last night,56
high school,54
Peace Corps,52
old man,52
United Nations,49
New England,49
few years,49
young man,47
Los Angeles,47
last week,43
great deal,43
few days,41
General Motors,41
President Kennedy,40
New Orleans,40
long time,39
San Francisco,39
many years,36
Civil War,36
few minutes,34
Mr. Kennedy,34
Du Pont,34
other side,33
was nothing,33
St. Louis,32
is nothing,31
new members,31
living room,31
nineteenth century,30
young men,29
first place,29
was something,29
St. John,28
small business,28
dominant stress,28
real estate,27
Supreme Court,27
foreign policy,27
Soviet Union,27
good deal,27
Sam Rayburn,26
Air Force,26
do anything,26
other words,26
human beings,26
next day,26
York City,25
take place,25
recent years,25
home runs,25
large number,25
State Department,24
Kansas City,24
Jesus Christ,24
many times,24
wage rate,24
many people,23
American people,22
is something,22
same way,22
other people,22
is Af,22
Armed Forces,22
index words,22
Puerto Rico,21
nuclear weapons,21
next morning,21
most part,21
Lo Shu,21
front door,21
Mrs. Coolidge,21
index word,21
York Times,20
same thing,20
Mr. Skyros,20
General Assembly,19
New Jersey,19
go home,19
Mr. Podger,19
John Brown,19
anode holder,19
took place,18
High School,18
John A.,18
several years,18
had nothing,18
dining room,18
only way,18
West Berlin,18
other men,18
chemical name,18
take care,18
Mary Jane,18
carbon tetrachloride,18
information cell,18
Miss Langford,18
personal property,17
first step,17
higher education,17
much time,17
public interest,17
big man,17
East Greenwich,17
international law,17
human life,17
new birth,17
vocational education,17
private detective,17
basic wage,17
electronic switches,17
Linda Kay,17
public education,16
school districts,16
first day,16
nuclear war,16
cold war,16
other countries,16
short time,16
blue eyes,16
common sense,16
National Forest,16
radio emission,16
pulmonary artery,16
sweet clover,16
minimal polynomial,16
do something,15
high schools,15
free world,15
Premier Khrushchev,15
Mr. Khrushchev,15
Saturday night,15
interest rates,15
other areas,15
economic development,15
station wagon,15
human race,15
Drug's chemical,15
interior design,15
Du Pont's,15
Mr. Justice,15
A. Notte,15
bronchial artery,15
optimal policy,15
Bobby Joe,15
Miss Ada,15
little doubt,14
first year,14
President Kennedy's,14
vice president,14
income tax,14
New Testament,14
several days,14
other things,14
several times,14
many cases,14
faculty members,14
anti-trust laws,14
Vice President,14
last time,14
tax collection,14
Old Man,14
Brooklyn College,14
economic integration,14
private eye,14
fiscal years,14
capita income,14
appeal board,14
Export-Import Bank,14
electronic switch,14
school board,13
social security,13
young people,13
Viet Nam,13
Latin America,13
general public,13
Virgin Islands,13
next week,13
few hours,13
few months,13
large part,13
have nothing,13
old woman,13
only thing,13
takes place,13
early years,13
says Dr.,13
National Forests,13
prime minister,13
calendar year,13
Mr. Brown,13
Af bond,13
nonspecific staining,13
school desegregation,13
Superior Court,12
right hand,12
District Court,12
other members,12
press conference,12
wide variety,12
Long Island,12
several months,12
new ones,12
other nations,12
school system,12
whole world,12
more time,12
development program,12
good will,12
eighteenth century,12
social life,12
middle class,12
straight line,12
Red River,12
hot water,12
science fiction,12
Saxon Shore,12
Small Business,12
business concerns,12
general business,12
business activity,12
local board,12
hypothalamic balance,12
Utopian communism,12
oxidation pond,12
wash wheel,12
Simms Purdew,12
Big Hans,12
Mr. Jack,12
Mike Deegan,12
Mr. Nixon,11
Southeast Asia,11
left hand,11
have something,11
other states,11
other day,11
Hong Kong,11
Mrs. Robert,11
National Park,11
next year,11
past year,11
Christian faith,11
George Washington,11
come home,11
young woman,11
only man,11
Wall Street,11
Great Britain,11
taken place,11
other way,11
human being,11
many ways,11
far end,11
long way,11
hydrogen atoms,11
fat man,11
many things,11
South America,11
room temperature,11
other end,11
few moments,11
first thing,11
human nature,11
social system,11
know something,11
motor pool,11
See Chapter,11
Gross Income,11
federal courts,11
objective function,11
Blue Throat,11
El Paso,10
few weeks,10
other parts,10
Pathet Lao,10
federal government,10
take advantage,10
Kennedy Administration,10
free nations,10
next time,10
sales tax,10
tax bill,10
recent months,10
East Germany,10
Last year,10
had time,10
early days,10
Mrs. John,10
next door,10
white people,10
third time,10
Southern California,10
First Lady,10
North Carolina,10
local governments,10
take time,10
total number,10
East Berlin,10
American history,10
Little Rock,10
King James,10
New Hampshire,10
Motors stock,10
same manner,10
old days,10
labor dispute,10
Field Marshal,10
such things,10
Mr. White,10
Mr. Sansom,10
barbed wire,10
twentieth century,10
locking bars,10
locking bar,10
research team,10
Middle Ages,10
Mr. Clark,10
Main Street,10
much attention,10
said Mr.,10
red wine,10
Business Administration,10
came home,10
unwed mothers,10
black hair,10
short period,10
Internal Revenue,10
hearing officer's,10
Economic Affairs,10
growth center,10
order Af,10
text-form list,10
strong stress,10
Daily Journal,10
oxygen transfer,10
public relations,9
public schools,9
vocational rehabilitation,9
economic aid,9
civil defense,9
Mr. Hawksley,9
first aid,9
Rules Committee,9
Middle East,9
John F.,9
F. Kennedy,9
state government,9
District Attorney,9
American League,9
Mrs. William,9
Post Office,9
back seat,9
several weeks,9
other children,9
last month,9
license number,9
court order,9
collective bargaining,9
foreign aid,9
most people,9
important thing,9
Rhode Island's,9
large numbers,9
Western world,9
most cases,9
Mr. Eisenhower,9
good reason,9
long periods,9
little man,9
outer space,9
American life,9
modern world,9
few people,9
many others,9
good time,9
ballistic missile,9
back yard,9
good thing,9
long period,9
real life,9
Dr. Brodie,9
various types,9
better understanding,9
little time,9
Mrs. Borden,9
Miss Upton,9
few yards,9
late afternoon,9
wave lengths,9
social sciences,9
developed countries,9
liberal education,9
Sir Edward,9
movable property,9
hearing officer,9
skywave service,9
Advisory Board,9
linear operator,9
space V,9
Kohnstamm-positive subjects,9
few seconds,9
Wagner-Peyser Act,9
urethane foams,9
urethane foam,9
loop gain,9
Uncle Randolph,9
Mrs. Meeker,9
Poor John,9
Cousin Elec,9
Mr. Crombie,9
grand jury,8
state law,8
bond issue,8
public utility,8
tomorrow night,8
later years,8
City Council,8
law enforcement,8
town meeting,8
cocktail party,8
Country Club,8
new industry,8
foreign countries,8
Friday night,8
good job,8
home run,8
such thing,8
South Africa,8
last year's,8
small children,8
W. H.,8
West Germany,8
stock market,8
new product,8
Interstate Commerce,8
farm equipment,8
New Mexico,8
Fine Arts,8
American politics,8
financial support,8
